caldt,vwretd.T.30,vwretx.T.30,ewretd.T.30,ewretx.T.30,totval.T.30,usdval.T.30,spindx.T.30,sprtrn.T.30,chusdval.T.30,vol.T.30,vwretd.T.2,vwretx.T.2,ewretd.T.2,ewretx.T.2,totval.T.2,usdval.T.2,spindx.T.2,sprtrn.T.2,chusdval.T.2,vol.T.2,vwretd.T.1,vwretx.T.1,ewretd.T.1,ewretx.T.1,totval.T.1,usdval.T.1,spindx.T.1,sprtrn.T.1,chusdval.T.1,vol.T.1,vwretd.T.0,vwretx.T.0,ewretd.T.0,ewretx.T.0,totval.T.0,usdval.T.0,spindx.T.0,sprtrn.T.0,chusdval.T.0,vol.T.0,Movement.T.0
20010314,-0.025915,-0.025928,-0.023291,-0.02335,10297884700,10571993800,1166.71,-0.025842,1.015261564,0.013498198,-0.015198,-0.015198,-0.013237,-0.013237,10838162200,11005252000,1224.36,-0.01498,0.991332583,0.021238372,-0.012301,-0.012309,-0.005819,-0.005825,10703344500,10838162200,1209.47,-0.012161,0.984817267,0.019769297,0.015993,0.015986,0.012962,0.012923,10874395400,10703344500,1228.75,0.015941,0.987560834,0.019797131,1
20010315,0.005693,0.005677,0.00167,0.001621,10356372800,10297884700,1173.56,0.005871,0.974072147,0.013652165,-0.012301,-0.012309,-0.005819,-0.005825,10703344500,10838162200,1209.47,-0.012161,0.984817267,0.019769297,0.015993,0.015986,0.012962,0.012923,10874395400,10703344500,1228.75,0.015941,0.987560834,0.019797131,0.004864,0.004774,0.005728,0.005597,10926306000,10874395400,1234.52,0.004696,1.01598107,0.019141314,1
20010316,-0.019575,-0.019584,-0.020875,-0.020912,10153697000,10356372800,1150.53,-0.019624,1.005679623,0.013759802,0.015993,0.015986,0.012962,0.012923,10874395400,10703344500,1228.75,0.015941,0.987560834,0.019797131,0.004864,0.004774,0.005728,0.005597,10926306000,10874395400,1234.52,0.004696,1.01598107,0.019141314,0.015063,0.015029,0.016689,0.01661,11091307900,10926306000,1253.05,0.01501,1.004773654,0.019276286,1
20010319,0.01771,0.017691,0.020316,0.020305,10333344500,10153697000,1170.81,0.017627,0.980429847,0.014217145,0.004864,0.004774,0.005728,0.005597,10926306000,10874395400,1234.52,0.004696,1.01598107,0.019141314,0.015063,0.015029,0.016689,0.01661,11091307900,10926306000,1253.05,0.01501,1.004773654,0.019276286,-0.002827,-0.002877,0.002731,0.002703,11089346400,11091307900,1249.46,-0.002865,1.015101343,0.018855282,0
20010320,-0.024259,-0.024277,-0.017255,-0.017327,10082707700,10333344500,1142.62,-0.024077,1.017692817,0.014559244,0.015063,0.015029,0.016689,0.01661,11091307900,10926306000,1253.05,0.01501,1.004773654,0.019276286,-0.002827,-0.002877,0.002731,0.002703,11089346400,11091307900,1249.46,-0.002865,1.015101343,0.018855282,0.01368,0.013675,0.008766,0.008752,11241011900,11089346400,1266.44,0.01359,0.99982315,0.018760904,1
20010321,-0.017817,-0.017856,-0.017457,-0.017503,9902672210,10082707700,1122.14,-0.017924,0.975744852,0.014710015,-0.002827,-0.002877,0.002731,0.002703,11089346400,11091307900,1249.46,-0.002865,1.015101343,0.018855282,0.01368,0.013675,0.008766,0.008752,11241011900,11089346400,1266.44,0.01359,0.99982315,0.018760904,0.000995,0.000906,0.001727,0.00166,11251191600,11241011900,1267.43,0.000782,1.013676685,0.018069576,1
20010322,-0.003781,-0.003799,-0.006548,-0.006589,9865053770,9902672210,1117.58,-0.004064,0.982144133,0.014707823,0.01368,0.013675,0.008766,0.008752,11241011900,11089346400,1266.44,0.01359,0.99982315,0.018760904,0.000995,0.000906,0.001727,0.00166,11251191600,11241011900,1267.43,0.000782,1.013676685,0.018069576,-0.014686,-0.014807,-0.015258,-0.015404,11084649500,11251191600,1248.58,-0.014873,1.000905586,0.017952354,0
20010323,0.019876,0.019876,0.018298,0.018298,10061709300,9865053770,1139.83,0.019909,0.996201183,0.015446258,0.000995,0.000906,0.001727,0.00166,11251191600,11241011900,1267.43,0.000782,1.013676685,0.018069576,-0.014686,-0.014807,-0.015258,-0.015404,11084649500,11251191600,1248.58,-0.014873,1.000905586,0.017952354,0.014492,0.014463,0.012398,0.012359,11254219800,11084649500,1266.61,0.01444,0.985197826,0.017993515,1
20010326,0.011112,0.011112,0.013148,0.013148,10173510500,10061709300,1152.69,0.011282,1.019934562,0.015645005,-0.014686,-0.014807,-0.015258,-0.015404,11084649500,11251191600,1248.58,-0.014873,1.000905586,0.017952354,0.014492,0.014463,0.012398,0.012359,11254219800,11084649500,1266.61,0.01444,0.985197826,0.017993515,-0.002508,-0.002533,-0.00329,-0.003371,11225714500,11254219800,1263.51,-0.002447,1.015297759,0.017788127,0
20010327,0.025461,0.025461,0.014384,0.014384,10432533600,10173510500,1182.17,0.025575,1.011111551,0.016319179,0.014492,0.014463,0.012398,0.012359,11254219800,11084649500,1266.61,0.01444,0.985197826,0.017993515,-0.002508,-0.002533,-0.00329,-0.003371,11225714500,11254219800,1263.51,-0.002447,1.015297759,0.017788127,-0.001616,-0.001708,0.000481,0.000357,11206655800,11225714500,1261.2,-0.001828,0.997467146,0.017753691,0
