date,SPR.T-5,PRC.T-5,VOL.T-5,SHROUT.T-5,RETX.T-5,SPR.T-4,PRC.T-4,VOL.T-4,SHROUT.T-4,RETX.T-4,SPR.T-3,PRC.T-3,VOL.T-3,SHROUT.T-3,RETX.T-3,SPR.T-2,PRC.T-2,VOL.T-2,SHROUT.T-2,RETX.T-2,SPR.T-1,PRC.T-1,VOL.T-1,SHROUT.T-1,RETX.T-1,sprtrn,MOVEMENT.T-0
25.Feb.08,0.51,18.97,56319796,5136588,0.003704,0.48,19.21,48465079,5136588,0.012652,0.64,19.19,37883790,5136588,-0.001041,0.68,19.41,42319291,5136588,0.011464,0.465,18.8,43803131,5149000,-0.031427,0.013813,1
26.Feb.08,0.48,19.21,48465079,5136588,0.012652,0.64,19.19,37883790,5136588,-0.001041,0.68,19.41,42319291,5136588,0.011464,0.465,18.8,43803131,5149000,-0.031427,0.52,18.95,41836636,5149000,0.007979,0.006918,0
27.Feb.08,0.64,19.19,37883790,5136588,-0.001041,0.68,19.41,42319291,5136588,0.011464,0.465,18.8,43803131,5149000,-0.031427,0.52,18.95,41836636,5149000,0.007979,0.78,18.44,71408436,5149000,-0.026913,-0.000919,1
28.Feb.08,0.68,19.41,42319291,5136588,0.011464,0.465,18.8,43803131,5149000,-0.031427,0.52,18.95,41836636,5149000,0.007979,0.78,18.44,71408436,5149000,-0.026913,0.36,18.7999,58187715,5149000,0.019517,-0.008942,1
29.Feb.08,0.465,18.8,43803131,5149000,-0.031427,0.52,18.95,41836636,5149000,0.007979,0.78,18.44,71408436,5149000,-0.026913,0.36,18.7999,58187715,5149000,0.019517,0.53,19.23,69120535,5149000,0.022878,-0.02709,0
3.Mar.08,0.52,18.95,41836636,5149000,0.007979,0.78,18.44,71408436,5149000,-0.026913,0.36,18.7999,58187715,5149000,0.019517,0.53,19.23,69120535,5149000,0.022878,0.6801,19,46998177,5149000,-0.01196,0.000534,1
4.Mar.08,0.78,18.44,71408436,5149000,-0.026913,0.36,18.7999,58187715,5149000,0.019517,0.53,19.23,69120535,5149000,0.022878,0.6801,19,46998177,5149000,-0.01196,0.42,19.28,36576152,5149000,0.014737,-0.003448,1
5.Mar.08,0.36,18.7999,58187715,5149000,0.019517,0.53,19.23,69120535,5149000,0.022878,0.6801,19,46998177,5149000,-0.01196,0.42,19.28,36576152,5149000,0.014737,0.85,19.5118,48220765,5149000,0.012023,0.005238,1
6.Mar.08,0.53,19.23,69120535,5149000,0.022878,0.6801,19,46998177,5149000,-0.01196,0.42,19.28,36576152,5149000,0.014737,0.85,19.5118,48220765,5149000,0.012023,0.74,19.68,48155809,5149000,0.00862,-0.022014,1
7.Mar.08,0.6801,19,46998177,5149000,-0.01196,0.42,19.28,36576152,5149000,0.014737,0.85,19.5118,48220765,5149000,0.012023,0.74,19.68,48155809,5149000,0.00862,0.63,19.84,43687948,5149000,0.00813,-0.00841,0
10.Mar.08,0.42,19.28,36576152,5149000,0.014737,0.85,19.5118,48220765,5149000,0.012023,0.74,19.68,48155809,5149000,0.00862,0.63,19.84,43687948,5149000,0.00813,0.78,19.52,43595916,5149000,-0.016129,-0.015463,0
11.Mar.08,0.85,19.5118,48220765,5149000,0.012023,0.74,19.68,48155809,5149000,0.00862,0.63,19.84,43687948,5149000,0.00813,0.78,19.52,43595916,5149000,-0.016129,0.56,19.28,41039259,5149000,-0.012295,0.03713,1
12.Mar.08,0.74,19.68,48155809,5149000,0.00862,0.63,19.84,43687948,5149000,0.00813,0.78,19.52,43595916,5149000,-0.016129,0.56,19.28,41039259,5149000,-0.012295,0.6615,20.02,38424608,5149000,0.038382,-0.008996,0
13.Mar.08,0.63,19.84,43687948,5149000,0.00813,0.78,19.52,43595916,5149000,-0.016129,0.56,19.28,41039259,5149000,-0.012295,0.6615,20.02,38424608,5149000,0.038382,0.94,19.5599,43472266,5149000,-0.022982,0.005127,1
14.Mar.08,0.78,19.52,43595916,5149000,-0.016129,0.56,19.28,41039259,5149000,-0.012295,0.6615,20.02,38424608,5149000,0.038382,0.94,19.5599,43472266,5149000,-0.022982,0.61,20.08,45436881,5149000,0.02659,-0.020783,1
17.Mar.08,0.56,19.28,41039259,5149000,-0.012295,0.6615,20.02,38424608,5149000,0.038382,0.94,19.5599,43472266,5149000,-0.022982,0.61,20.08,45436881,5149000,0.02659,0.54,20.77,34487847,5151525,0.034363,-0.008959,1
18.Mar.08,0.6615,20.02,38424608,5149000,0.038382,0.94,19.5599,43472266,5149000,-0.022982,0.61,20.08,45436881,5149000,0.02659,0.54,20.77,34487847,5151525,0.034363,0.44,21.08,43222131,5151525,0.014925,0.04241,0
19.Mar.08,0.94,19.5599,43472266,5149000,-0.022982,0.61,20.08,45436881,5149000,0.02659,0.54,20.77,34487847,5151525,0.034363,0.44,21.08,43222131,5151525,0.014925,0.67,20.94,86567403,5151525,-0.006641,-0.024287,0
20.Mar.08,0.61,20.08,45436881,5149000,0.02659,0.54,20.77,34487847,5151525,0.034363,0.44,21.08,43222131,5151525,0.014925,0.67,20.94,86567403,5151525,-0.006641,0.45,19.43,117092861,5151525,-0.072111,0.023944,0
24.Mar.08,0.54,20.77,34487847,5151525,0.034363,0.44,21.08,43222131,5151525,0.014925,0.67,20.94,86567403,5151525,-0.006641,0.45,19.43,117092861,5151525,-0.072111,0.54,19.37,38130529,5151525,-0.003088,0.015321,1
25.Mar.08,0.44,21.08,43222131,5151525,0.014925,0.67,20.94,86567403,5151525,-0.006641,0.45,19.43,117092861,5151525,-0.072111,0.54,19.37,38130529,5151525,-0.003088,0.24,19.56,31792353,5151525,0.009809,0.002304,1
26.Mar.08,0.67,20.94,86567403,5151525,-0.006641,0.45,19.43,117092861,5151525,-0.072111,0.54,19.37,38130529,5151525,-0.003088,0.24,19.56,31792353,5151525,0.009809,0.7,20.41,44977024,5151525,0.043456,-0.008766,1
27.Mar.08,0.45,19.43,117092861,5151525,-0.072111,0.54,19.37,38130529,5151525,-0.003088,0.24,19.56,31792353,5151525,0.009809,0.7,20.41,44977024,5151525,0.043456,0.5,20.49,32238583,5151525,0.00392,-0.01146,1
28.Mar.08,0.54,19.37,38130529,5151525,-0.003088,0.24,19.56,31792353,5151525,0.009809,0.7,20.41,44977024,5151525,0.043456,0.5,20.49,32238583,5151525,0.00392,0.43,20.68,36851752,5151525,0.009273,-0.00795,0
31.Mar.08,0.24,19.56,31792353,5151525,0.009809,0.7,20.41,44977024,5151525,0.043456,0.5,20.49,32238583,5151525,0.00392,0.43,20.68,36851752,5151525,0.009273,0.38,20.35,53991636,5151525,-0.015957,0.005687,0
1.Apr.08,0.7,20.41,44977024,5151525,0.043456,0.5,20.49,32238583,5151525,0.00392,0.43,20.68,36851752,5151525,0.009273,0.38,20.35,53991636,5151525,-0.015957,0.36,20.23,24038247,5151525,-0.005897,0.035896,0
2.Apr.08,0.5,20.49,32238583,5151525,0.00392,0.43,20.68,36851752,5151525,0.009273,0.38,20.35,53991636,5151525,-0.015957,0.36,20.23,24038247,5151525,-0.005897,0.31,19.92,35278142,5151525,-0.015324,-0.001934,1
3.Apr.08,0.43,20.68,36851752,5151525,0.009273,0.38,20.35,53991636,5151525,-0.015957,0.36,20.23,24038247,5151525,-0.005897,0.31,19.92,35278142,5151525,-0.015324,0.39,20.22,31565476,5151525,0.01506,0.001302,1
4.Apr.08,0.38,20.35,53991636,5151525,-0.015957,0.36,20.23,24038247,5151525,-0.005897,0.31,19.92,35278142,5151525,-0.015324,0.39,20.22,31565476,5151525,0.01506,0.64,20.45,49075367,5151525,0.011375,0.000796,0
7.Apr.08,0.36,20.23,24038247,5151525,-0.005897,0.31,19.92,35278142,5151525,-0.015324,0.39,20.22,31565476,5151525,0.01506,0.64,20.45,49075367,5151525,0.011375,0.33,19.84,28958378,5151525,-0.029829,0.001562,1
8.Apr.08,0.31,19.92,35278142,5151525,-0.015324,0.39,20.22,31565476,5151525,0.01506,0.64,20.45,49075367,5151525,0.011375,0.33,19.84,28958378,5151525,-0.029829,0.35,19.86,21579397,5151525,0.001008,-0.0051,1
9.Apr.08,0.39,20.22,31565476,5151525,0.01506,0.64,20.45,49075367,5151525,0.011375,0.33,19.84,28958378,5151525,-0.029829,0.35,19.86,21579397,5151525,0.001008,0.31,20.18,24994187,5151525,0.016113,-0.008092,1
10.Apr.08,0.64,20.45,49075367,5151525,0.011375,0.33,19.84,28958378,5151525,-0.029829,0.35,19.86,21579397,5151525,0.001008,0.31,20.18,24994187,5151525,0.016113,0.65,20.77,47112616,5151525,0.029237,0.004474,1
11.Apr.08,0.33,19.84,28958378,5151525,-0.029829,0.35,19.86,21579397,5151525,0.001008,0.31,20.18,24994187,5151525,0.016113,0.65,20.77,47112616,5151525,0.029237,0.53,21.2,37481670,5151525,0.020703,-0.020374,1
14.Apr.08,0.35,19.86,21579397,5151525,0.001008,0.31,20.18,24994187,5151525,0.016113,0.65,20.77,47112616,5151525,0.029237,0.53,21.2,37481670,5151525,0.020703,0.6966,21.8,47169826,5151525,0.028302,-0.003384,0
15.Apr.08,0.31,20.18,24994187,5151525,0.016113,0.65,20.77,47112616,5151525,0.029237,0.53,21.2,37481670,5151525,0.020703,0.6966,21.8,47169826,5151525,0.028302,0.5,21.76,26095792,5151525,-0.001835,0.0046,1
16.Apr.08,0.65,20.77,47112616,5151525,0.029237,0.53,21.2,37481670,5151525,0.020703,0.6966,21.8,47169826,5151525,0.028302,0.5,21.76,26095792,5151525,-0.001835,0.38,21.78,30198104,5151525,0.000919,0.022691,1
17.Apr.08,0.53,21.2,37481670,5151525,0.020703,0.6966,21.8,47169826,5151525,0.028302,0.5,21.76,26095792,5151525,-0.001835,0.38,21.78,30198104,5151525,0.000919,0.27,21.91,25501235,5151525,0.005969,0.000623,1
18.Apr.08,0.6966,21.8,47169826,5151525,0.028302,0.5,21.76,26095792,5151525,-0.001835,0.38,21.78,30198104,5151525,0.000919,0.27,21.91,25501235,5151525,0.005969,0.74,22.01,35155718,5151525,0.004564,0.018139,0
21.Apr.08,0.5,21.76,26095792,5151525,-0.001835,0.38,21.78,30198104,5151525,0.000919,0.27,21.91,25501235,5151525,0.005969,0.74,22.01,35155718,5151525,0.004564,0.73,21.59,29775393,5151525,-0.019082,-0.001554,0
22.Apr.08,0.38,21.78,30198104,5151525,0.000919,0.27,21.91,25501235,5151525,0.005969,0.74,22.01,35155718,5151525,0.004564,0.73,21.59,29775393,5151525,-0.019082,0.42,21.51,24818569,5151525,-0.003705,-0.00881,1
23.Apr.08,0.27,21.91,25501235,5151525,0.005969,0.74,22.01,35155718,5151525,0.004564,0.73,21.59,29775393,5151525,-0.019082,0.42,21.51,24818569,5151525,-0.003705,0.553,21.76,25801342,5151525,0.011623,0.0029,0
24.Apr.08,0.74,22.01,35155718,5151525,0.004564,0.73,21.59,29775393,5151525,-0.019082,0.42,21.51,24818569,5151525,-0.003705,0.553,21.76,25801342,5151525,0.011623,0.78,20.85,41879132,5151525,-0.04182,0.006442,1
25.Apr.08,0.73,21.59,29775393,5151525,-0.019082,0.42,21.51,24818569,5151525,-0.003705,0.553,21.76,25801342,5151525,0.011623,0.78,20.85,41879132,5151525,-0.04182,0.89,21.82,35782833,5151525,0.046523,0.006495,0
28.Apr.08,0.42,21.51,24818569,5151525,-0.003705,0.553,21.76,25801342,5151525,0.011623,0.78,20.85,41879132,5151525,-0.04182,0.89,21.82,35782833,5151525,0.046523,0.78,21.51,36752082,5151525,-0.014207,-0.001052,1
29.Apr.08,0.553,21.76,25801342,5151525,0.011623,0.78,20.85,41879132,5151525,-0.04182,0.89,21.82,35782833,5151525,0.046523,0.78,21.51,36752082,5151525,-0.014207,0.34,21.55,30525548,5151525,0.00186,-0.003889,0
30.Apr.08,0.78,20.85,41879132,5151525,-0.04182,0.89,21.82,35782833,5151525,0.046523,0.78,21.51,36752082,5151525,-0.014207,0.34,21.55,30525548,5151525,0.00186,0.52,21.5,32882383,5151525,-0.00232,-0.003846,0
1.May.08,0.89,21.82,35782833,5151525,0.046523,0.78,21.51,36752082,5151525,-0.014207,0.34,21.55,30525548,5151525,0.00186,0.52,21.5,32882383,5151525,-0.00232,0.595,20.99,37811359,5151525,-0.023721,0.017141,1
2.May.08,0.78,21.51,36752082,5151525,-0.014207,0.34,21.55,30525548,5151525,0.00186,0.52,21.5,32882383,5151525,-0.00232,0.595,20.99,37811359,5151525,-0.023721,0.28,21.1,26097928,5151525,0.005241,0.003236,0
5.May.08,0.34,21.55,30525548,5151525,0.00186,0.52,21.5,32882383,5151525,-0.00232,0.595,20.99,37811359,5151525,-0.023721,0.28,21.1,26097928,5151525,0.005241,0.4,21,21072813,5151525,-0.004739,-0.004534,1
6.May.08,0.52,21.5,32882383,5151525,-0.00232,0.595,20.99,37811359,5151525,-0.023721,0.28,21.1,26097928,5151525,0.005241,0.4,21,21072813,5151525,-0.004739,0.55,21.51,24786245,5151525,0.024286,0.007652,1
7.May.08,0.595,20.99,37811359,5151525,-0.023721,0.28,21.1,26097928,5151525,0.005241,0.4,21,21072813,5151525,-0.004739,0.55,21.51,24786245,5151525,0.024286,0.41,21.67,20443960,5151525,0.007438,-0.018114,1
8.May.08,0.28,21.1,26097928,5151525,0.005241,0.4,21,21072813,5151525,-0.004739,0.55,21.51,24786245,5151525,0.024286,0.41,21.67,20443960,5151525,0.007438,0.54,21.78,26521293,5151525,0.005076,0.003669,1
9.May.08,0.4,21,21072813,5151525,-0.004739,0.55,21.51,24786245,5151525,0.024286,0.41,21.67,20443960,5151525,0.007438,0.54,21.78,26521293,5151525,0.005076,0.37,21.87,21719465,5151525,0.004132,-0.006725,0
12.May.08,0.55,21.51,24786245,5151525,0.024286,0.41,21.67,20443960,5151525,0.007438,0.54,21.78,26521293,5151525,0.005076,0.37,21.87,21719465,5151525,0.004132,0.56,21.68,33779979,5151525,-0.008688,0.011021,1
13.May.08,0.41,21.67,20443960,5151525,0.007438,0.54,21.78,26521293,5151525,0.005076,0.37,21.87,21719465,5151525,0.004132,0.56,21.68,33779979,5151525,-0.008688,0.88,22.43,41544088,5151525,0.034594,-0.000385,0
14.May.08,0.54,21.78,26521293,5151525,0.005076,0.37,21.87,21719465,5151525,0.004132,0.56,21.68,33779979,5151525,-0.008688,0.88,22.43,41544088,5151525,0.034594,0.39,22.16,25913848,5151525,-0.012037,0.004006,0
15.May.08,0.37,21.87,21719465,5151525,0.004132,0.56,21.68,33779979,5151525,-0.008688,0.88,22.43,41544088,5151525,0.034594,0.39,22.16,25913848,5151525,-0.012037,0.77,22.01,30644581,5151525,-0.006769,0.010585,1
16.May.08,0.56,21.68,33779979,5151525,-0.008688,0.88,22.43,41544088,5151525,0.034594,0.39,22.16,25913848,5151525,-0.012037,0.77,22.01,30644581,5151525,-0.006769,0.41,22.31,24186409,5151525,0.01363,0.00125,0
19.May.08,0.88,22.43,41544088,5151525,0.034594,0.39,22.16,25913848,5151525,-0.012037,0.77,22.01,30644581,5151525,-0.006769,0.41,22.31,24186409,5151525,0.01363,0.41,21.98,19994237,5151525,-0.014792,0.000898,1
